allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,1,1,Blue,8,11,46,15,Marksman,None,36377,Corki,22244,4667,8,0,3,0,Red,2,Ally,Ally,False,False,Enemy,Ally,True,Ally,False,-251.0999999999999,80.0,12143,8,3149908238,Ally,ScarletZ,4679,22,1,3,1
0,1,0,Red,1,5,73,11,Marksman,None,86301,Jinx,8548,0,4,0,2,1,Blue,8,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,207.79999999999995,170.29999999999995,7966,2,3149891305,Enemy,ScarletZ,1144,18,0,4,0
0,3,2,Blue,6,14,87,14,Fighter,None,1129,Garen,23263,9358,4,0,0,0,Red,3,None,Ally,False,False,Ally,Ally,False,Enemy,False,-476.79999999999995,310.5,13010,15,3149589286,None,ScarletZ,4961,22,1,2,1
0,0,0,Red,0,4,122,10,Fighter,None,4436,Aatrox,11840,2036,12,0,3,2,Blue,9,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,-189.29999999999995,642.5999999999999,7128,5,3149591757,Ally,ScarletZ,7076,11,0,3,0
0,1,0,Red,5,12,996,15,Marksman,None,11042,Ashe,36326,11739,8,2,4,2,Blue,9,Enemy,Ally,False,False,Enemy,Enemy,False,Ally,False,102.70000000000005,500.70000000000005,13895,9,3141673017,Ally,ScarletZ,2601,41,3,2,0
0,1,0,Red,2,5,10,11,Marksman,None,5779,Tristana,11322,5607,1,0,0,0,Blue,0,None,Ally,False,False,Ally,None,None,Ally,False,529.5999999999999,-100.29999999999995,8570,9,3138543277,None,ScarletZ,1461,9,1,1,1
0,0,0,Red,0,6,498,10,Marksman,None,80660,Ashe,12900,494,7,0,2,2,Blue,7,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,313.9000000000001,278.70000000000005,6746,2,3206825774,Enemy,TakesTakesTakes,701,5,0,0,0
0,1,1,Blue,5,12,71,13,Marksman,None,45617,Jhin,13193,2332,9,1,3,2,Red,9,Enemy,Ally,False,False,Ally,Ally,True,Enemy,False,-169.0,-301.0,9952,2,3206770069,None,TakesTakesTakes,2373,10,1,0,0
1,4,3,Red,10,7,663,14,Marksman,None,80660,Ashe,11496,10755,4,0,0,0,Blue,3,Ally,Ally,False,False,Ally,Ally,False,Enemy,False,347.4000000000001,539.0999999999999,10789,2,3206664604,Ally,TakesTakesTakes,2730,21,0,3,1
1,4,2,Red,11,7,302,15,Mage,None,25270,Viktor,19418,10149,5,0,0,0,Blue,0,Ally,Ally,False,True,Ally,Ally,False,Ally,False,-435.9000000000001,-76.70000000000005,11601,7,3203646567,Enemy,TakesTakesTakes,3779,13,2,0,1
0,0,0,Red,0,2,103,11,Mage,None,25270,Viktor,8172,0,7,0,2,2,Blue,11,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-410.0999999999999,316.0999999999999,5838,2,3203619414,Ally,TakesTakesTakes,0,7,0,0,0
0,1,0,Blue,1,10,346,17,Mage,None,25270,Viktor,34482,5007,2,1,3,1,Red,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-412.0,9.200000000000045,14219,11,3203120383,Enemy,TakesTakesTakes,1562,17,1,1,0
0,1,0,Red,1,4,371,14,Mage,None,25270,Viktor,16923,5315,7,1,3,1,Blue,7,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,220.20000000000005,33.40000000000009,10775,5,3203076028,Enemy,TakesTakesTakes,1135,13,0,0,0
0,1,0,Blue,1,11,30,14,Marksman,None,42755,Vayne,15598,3949,6,1,3,3,Red,11,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,-319.20000000000005,153.20000000000005,10994,6,3203043576,None,TakesTakesTakes,6948,15,0,3,0
0,0,0,Blue,2,5,0,13,Marksman,None,14245,Kaisa,9779,158,5,1,3,3,Red,11,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,-266.0999999999999,132.29999999999995,9338,2,3202991969,None,TakesTakesTakes,2133,8,0,2,0
1,1,0,Blue,6,9,41,17,Fighter,None,18877,Renekton,24908,6668,11,2,4,3,Red,9,Ally,Ally,False,False,Enemy,Enemy,False,Ally,False,592.7,379.29999999999995,15129,7,3202878897,None,TakesTakesTakes,14457,36,1,2,0
0,1,2,Blue,10,5,74,11,Marksman,None,45617,Jhin,6926,9655,0,0,0,0,Red,0,None,Ally,False,False,Ally,Ally,True,Ally,False,18.299999999999955,-265.20000000000005,8605,6,3202873213,Ally,TakesTakesTakes,1547,15,1,0,1
