allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,3,1,Red,5,7,225,14,Fighter,None,91078,Udyr,15246,39163,3,0,0,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Enemy,False,599.9000000000001,434.4000000000001,12012,14,3217707251,Ally,YouGotOutFlayed,12066,21,0,3,1
1,2,0,Blue,2,7,69,18,Mage,None,17217,Ryze,39147,17306,4,0,2,2,Red,11,Ally,Ally,False,False,Enemy,Enemy,False,Enemy,False,187.70000000000005,650.5999999999999,17321,15,3217680913,None,YouGotOutFlayed,14367,12,0,0,0
0,0,2,Blue,7,2,99,16,Fighter,None,129493,Yorick,12800,17566,4,1,4,1,Red,9,Enemy,Enemy,False,False,Enemy,Ally,False,Ally,False,-520.9000000000001,-545.5999999999999,9943,1,3219434419,Enemy,Ghoulguy Yorick,3060,21,0,1,0
1,3,1,Blue,9,2,90,14,Fighter,None,129493,Yorick,11532,35478,1,0,0,0,Red,0,Ally,Enemy,False,False,Ally,Ally,True,Ally,False,-529.0,-350.0999999999999,11995,8,3217826119,Ally,Ghoulguy Yorick,2622,8,0,1,1
0,2,0,Red,3,0,43,10,Fighter,None,129493,Yorick,3572,7585,0,0,0,0,Blue,0,None,Ally,False,False,Ally,None,None,Ally,False,145.20000000000005,685.0,6018,1,3199361684,Ally,Ghoulguy Yorick,975,5,0,0,1
0,2,1,Red,6,2,59,13,Fighter,None,129493,Yorick,8775,21273,1,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,True,Ally,False,87.5,-181.9000000000001,8668,4,3199297303,Ally,Ghoulguy Yorick,2445,5,0,0,1
1,2,2,Red,9,5,303,17,Fighter,None,129493,Yorick,15020,7403,6,0,3,1,Blue,6,Ally,Enemy,False,False,Ally,Enemy,False,Ally,False,295.4000000000001,-324.20000000000005,12876,1,3199268542,Ally,Ghoulguy Yorick,7699,14,0,1,1
2,1,1,Blue,10,16,451,18,Fighter,None,129493,Yorick,43671,34102,2,0,6,2,Red,7,Ally,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-230.4000000000001,-787.7,23037,10,3199229153,Enemy,Ghoulguy Yorick,19708,24,0,7,1
1,2,2,Blue,9,4,499,18,Fighter,None,129493,Yorick,33318,20558,2,1,3,1,Red,7,Enemy,Ally,False,True,Enemy,Ally,False,Enemy,False,-406.9000000000001,-298.0999999999999,15992,7,3199221597,Enemy,Ghoulguy Yorick,13401,15,0,1,1
0,0,0,Red,2,3,152,16,Fighter,None,129493,Yorick,15922,8398,3,1,3,1,Blue,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-175.79999999999995,6.5,11868,5,3199086814,Enemy,Ghoulguy Yorick,8910,13,0,0,0
