allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemySide,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,0,0,Blue,1,1,125,13,Fighter,None,105751,Fiora,16217,330,10,1,4,3,Red,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-93.09999999999991,-172.70000000000005,8675,3,3218277051,Enemy,chiratly2,6079,10,1,0,0
1,2,1,Red,9,6,339,16,Fighter,None,5150,Mordekaiser,44454,10707,6,0,3,0,Blue,1,Ally,Ally,False,False,Enemy,Ally,False,Ally,False,-197.20000000000005,491.20000000000005,14883,14,3217983036,Ally,chiratly2,13082,20,1,2,1
1,3,0,Blue,5,2,43,15,Fighter,None,18063,Renekton,19550,10219,2,0,0,0,Red,2,Ally,Enemy,False,False,Ally,None,None,Enemy,False,-406.79999999999995,-346.5,11700,8,3217277571,Enemy,chiratly2,10606,17,1,1,1
0,0,0,Red,3,5,42,14,Fighter,None,5150,Mordekaiser,16826,5074,3,0,4,0,Blue,4,None,Ally,False,False,Enemy,None,None,Ally,False,-58.90000000000009,391.0,9164,3,3216217397,Enemy,chiratly2,5086,22,4,1,0
0,5,3,Red,11,7,159,18,Fighter,None,5150,Mordekaiser,31599,12728,5,0,0,0,Blue,3,None,Enemy,False,False,Ally,Ally,False,Ally,False,-463.29999999999995,-153.20000000000005,15724,13,3215537130,Enemy,chiratly2,10281,8,0,0,1
0,1,0,Blue,0,2,53,13,Fighter,None,5150,Mordekaiser,12532,606,10,0,2,2,Red,10,None,Enemy,False,False,Ally,Enemy,False,Enemy,False,-348.5,33.90000000000009,7778,3,3214237060,None,chiratly2,2883,4,0,0,0
1,2,1,Red,9,32,170,17,Support,None,1438,Rakan,9914,3705,6,1,3,0,Blue,5,Enemy,Ally,False,False,Enemy,Ally,True,Ally,False,277.4000000000001,763.3,9924,1,3214044122,Ally,chiratly2,4413,49,2,1,1
0,2,1,Blue,5,5,85,15,Assassin,None,36931,Zed,23606,5210,2,0,0,0,Red,3,None,Ally,False,False,Ally,Ally,False,Enemy,False,-29.40000000000009,-257.5,11615,8,3195353669,None,chiratly2,3512,23,3,5,1
0,0,1,Blue,6,0,247,7,Fighter,None,37336,LeeSin,94,3468,2,0,0,0,Red,0,None,Ally,False,False,None,Ally,True,Ally,False,28.700000000000045,-65.20000000000005,3689,0,3195286801,None,chiratly2,2901,8,1,0,1
1,2,2,Blue,10,10,293,15,Tank,None,45082,Amumu,30306,17706,6,0,1,0,Red,0,Ally,Ally,False,False,Enemy,Ally,False,Ally,False,-194.20000000000005,95.90000000000009,12967,12,3135603838,Ally,seongsu,9091,29,2,5,1
0,0,0,Blue,0,8,131,15,Marksman,None,39365,Ezreal,14693,1951,12,2,3,2,Red,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,56.09999999999991,428.4000000000001,10444,2,3135571772,None,seongsu,2616,16,1,1,0
0,0,0,Red,0,0,110,8,Tank,None,1004,Singed,1264,1967,1,0,1,1,Blue,7,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,-70.90000000000009,526.5999999999999,4444,0,3135157414,Enemy,seongsu,4761,13,1,0,0
0,1,0,Red,4,6,160,13,Tank,None,45082,Amumu,16009,27960,5,1,3,1,Blue,7,Enemy,Enemy,False,False,Ally,Enemy,False,Ally,True,30.700000000000045,-84.40000000000009,10819,7,3122633438,Ally,seongsu,8150,27,2,5,0
2,1,1,Red,7,25,643,18,Tank,None,25750,JarvanIV,15714,11255,7,1,4,1,Blue,8,Ally,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-149.70000000000005,294.29999999999995,14817,6,3122608355,Enemy,seongsu,14281,39,5,13,1
0,0,0,Red,2,13,398,13,Tank,None,25750,JarvanIV,7918,7669,4,1,3,1,Blue,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-216.9000000000001,309.70000000000005,10078,4,3122595259,Ally,seongsu,5950,20,3,6,0
2,0,2,Blue,7,14,268,18,Tank,None,45082,Amumu,26815,41853,7,0,4,2,Red,10,Ally,Ally,False,False,Enemy,Enemy,False,Ally,False,268.20000000000005,140.29999999999995,14945,6,3122601200,Ally,seongsu,13826,23,5,2,1
0,1,1,Red,6,7,279,10,Tank,None,25750,JarvanIV,2777,18712,1,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,False,Ally,False,220.5999999999999,221.5999999999999,7582,2,3122579402,Ally,seongsu,3777,11,1,2,1
1,0,1,Red,8,7,164,13,Tank,None,45082,Amumu,6802,27100,4,0,3,0,Blue,1,Ally,Enemy,False,False,Enemy,Ally,False,Ally,True,84.29999999999995,-15.900000000000091,9192,4,3122577040,Ally,seongsu,6893,19,2,4,1
0,0,0,Blue,0,2,152,7,Tank,None,25750,JarvanIV,1840,1924,4,0,1,1,Red,7,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,376.0999999999999,812.2,3535,0,3122564961,Enemy,seongsu,2190,4,1,0,0
0,1,0,Blue,3,3,148,9,Tank,None,7292,Malphite,5733,772,6,1,2,1,Red,6,Enemy,Enemy,False,False,Ally,Enemy,False,Ally,False,300.20000000000005,-193.5,6030,2,3122563274,Enemy,seongsu,0,32,3,4,0
0,1,0,Red,3,2,93,14,Mage,None,9988,Kennen,14789,11335,6,1,1,3,Blue,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,169.9000000000001,-88.5,9643,2,3102308961,Ally,enoLAtfeL,915,16,2,1,0
0,0,0,Blue,0,1,46,11,Mage,None,52601,Ryze,9207,837,6,0,3,2,Red,9,None,Ally,False,True,Enemy,Enemy,False,Enemy,False,402.9000000000001,402.20000000000005,6188,1,3102304740,Enemy,enoLAtfeL,1438,13,2,2,0
0,0,0,Red,6,5,85,18,Fighter,None,64649,Irelia,21591,18763,7,1,5,1,Blue,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,-49.299999999999955,-277.4000000000001,16486,6,3102268218,Ally,enoLAtfeL,10761,37,6,8,0
0,2,2,Red,10,9,327,17,Fighter,None,98314,Gangplank,20596,27273,4,1,1,0,Blue,2,Enemy,Ally,False,False,Ally,Ally,False,Ally,False,-486.0999999999999,-198.5,16444,6,3102263474,Enemy,enoLAtfeL,4750,40,8,3,1
0,2,2,Red,7,5,118,13,Mage,None,4917,Swain,6642,5839,1,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,False,Ally,False,-4.2000000000000455,316.29999999999995,7634,1,3102241515,Enemy,enoLAtfeL,3714,19,2,1,1
0,0,0,Blue,2,2,87,14,Fighter,None,64649,Irelia,12512,4060,4,1,3,1,Red,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,31.59999999999991,433.29999999999995,9941,2,3037882211,Ally,enoLAtfeL,4740,25,4,2,0
2,4,1,Red,8,6,140,18,Fighter,None,64649,Irelia,27567,18392,9,0,2,1,Blue,6,Ally,Enemy,False,False,Enemy,Enemy,False,Enemy,False,36.799999999999955,543.9000000000001,20011,7,3037059896,Enemy,enoLAtfeL,15393,33,3,2,1
1,3,2,Red,10,9,58,15,Fighter,None,64649,Irelia,12080,22647,3,0,0,0,Blue,0,Ally,Ally,False,False,Ally,Ally,True,Ally,False,-289.79999999999995,-344.70000000000005,11521,3,3036263123,Ally,enoLAtfeL,7514,23,3,0,1
1,2,1,Red,9,7,403,17,Fighter,None,98314,Gangplank,21169,12393,2,0,1,0,Blue,1,Ally,Ally,False,False,Enemy,Ally,True,Enemy,False,-181.0,205.0,15531,3,3036239324,Ally,enoLAtfeL,8675,24,2,1,1
3,5,1,Blue,7,10,490,18,Fighter,None,98314,Gangplank,23274,20693,7,0,3,3,Red,8,Ally,Enemy,False,False,Ally,Enemy,False,Enemy,False,-191.5,-44.5,16125,1,3036234617,Enemy,enoLAtfeL,13455,37,6,6,1
